"candidate_id","reference_section","analysis_family","design_role","scientific_question","design_axis","outcome_scope","treatment_scope","instrument_scope","adjustment_scope","estimator_scope","execution_policy","multiplicity_family","prerequisite","admissible","admissibility_reason","implementation_status","candidate_cells","implemented_cells","execution_cells","rationale"
"relevance_geography_control_absorption","Prompt 1 §§1-3","first_stage_relevance","diagnostic_relevance","Where does the linguistic-distance/EMI relationship disappear as geography and predetermined controls are absorbed?","geography_and_control_absorption","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","unadjusted, region/state FE, main/expanded, sequential, block interventions, and registered parameterizations","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",55,55,49,"The reference treats attenuation across geography and controls as a scientific result. The registry therefore keeps the historical cumulative ladder but adds symmetric block-only, leave-one-block-out, and declared alternative-parameterization designs."
"relevance_control_block_interventions","Prompt 1 §3; control critique","first_stage_relevance","diagnostic_relevance","Which theoretically named predetermined control family accounts for first-stage attenuation, rather than which arbitrary cumulative ordering happens to enter first?","control_block","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","each main control block alone and each block omitted from the main set, under region/state FE","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",24,24,24,"Symmetric block interventions answer the theory question directly and avoid privileging human capital or an arbitrary cumulative block order."
"relevance_control_parameterizations","Prompt 1 §3; Response 2 controls","first_stage_relevance","diagnostic_relevance","Does relevance depend on how human capital and economic structure are parameterized?","control_parameterization","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","preferred Shastry nonzero-mean distance","secondary-plus versus literacy crossed with compact versus decomposed economic structure, under region/state FE","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",6,6,6,"These are finite substitutions already declared by the control registry, not arbitrary covariate subsets."
"relevance_scalar_linguistic_constructions","Prompt 1 §4","first_stage_relevance","diagnostic_relevance","Is weak conditional relevance specific to one linguistic-distance construction?","instrument_definition","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","all registered scalar Shastry/legacy/Glottolog/Dyen/sensitivity constructions","unadjusted plus region/state main/expanded designs","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",60,60,60,"Alternative scalar bases probe measurement robustness while preserving a one-instrument exclusion story."
"relevance_multishare_instruments","Prompt 1 §5","first_stage_relevance","diagnostic_only_overidentified","Does retaining the full linguistic-distance distribution increase prediction, and what exclusion cost accompanies it?","instrument_dimensionality","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","registered five-share instrument systems","unadjusted plus region/state main/expanded designs","first_stage+overidentification","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_only_overidentified","implemented",15,15,15,"The reference explicitly treats strong five-share first stages as diagnostic rather than a preferred rescue because richer language-composition variation weakens the exclusion argument."
"five_share_falsification_adaptive_set","Weak-IV follow-up; Masten--Poirier","imperfect_iv_sensitivity","falsification_adaptive_identified_set","When five-share instruments disagree, what structural-effect interval is consistent with minimally nonfalsified exclusion relaxations?","exclusion_restriction","real log consumption change","emi_exposure_all_children_0708","three registered five-share language-distance systems","region-main and state-main only","just-identified IV constituents; other shares enter as controls","estimate","not_applicable","none",TRUE,"admissible_falsification_adaptive_identified_set","implemented",6,6,6,"For one endogenous regressor, the exclusion-based FAS is the interval between the just-identified IV estimands obtained by using each relevant instrument in turn while controlling for the remaining instruments. The six-cell scope is deliberately limited to region/state main-control versions of the three registered five-share systems; weak constituent first stages are reported rather than screened away."
"relevance_dise_treatment_definitions","Prompt 1 §§6-8","dise_relevance","diagnostic_relevance","Does the geographic attenuation survive alternative administrative definitions of EMI and nearby language/schooling constructs?","treatment_definition","all registered DISE structural-IV and relevance-only constructs","DISE EMI, language-composition, and management constructs","full registered diagnostic IV universe","all registered diagnostic adjustments","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",952,952,952,"The reference uses DISE primarily to distinguish measurement failure from geographic attenuation; relevance-only constructs remain diagnostics rather than alternate causal treatments."
"relevance_historical_distance_vintage","Prompt 1 §§9,24","historical_first_stage","diagnostic_relevance","Does the first-stage pattern survive a pre-treatment 1991 linguistic-distance vintage and predetermined 1991 adjustment sets?","instrument_vintage","EMI/EMIE treatment relevance","emi_exposure_all_children_0708","1991 versus Census-2001 linguistic distance","1991 predetermined PCA/all controls; preferred/exact geography","first_stage","diagnostic_only","not_applicable","none",TRUE,"admissible_diagnostic_relevance","implemented",8,8,8,"Historical vintage comparisons are an identification diagnostic; exact-match historical geography is not allowed to redefine the production instrument."
"c17_behavioral_mechanism","Response 2 C-17; Response 3 Phase 3","c17_mechanism","mechanism_and_falsification","Within a state, do speakers of languages farther from Hindi acquire English more often conditional on multilingualism?","language_group_mechanism","English acquisition, Hindi substitution, multilingualism, sex heterogeneity","language-group linguistic distance","Shastry/Glottolog/Dyen and registered nonlinear forms","state FE + native-language share + modal-language indicator","weighted_ols_hc1","estimate","c17_registered_mechanisms","none",TRUE,"admissible_mechanism_and_falsification","implemented",9,9,9,"C-17 is a distinct state-by-language estimand and should not be forced into the district IV grid."
"district_schooling_three_geography_grid","Response 3 Phase 12","district_schooling_mechanism","paper_facing_relevance","Where does the linguistic-distance signal attenuate across schooling-access, medium-choice, institution, and school-quality stages?","mechanism_stage_by_geography","preferred registered NSS and DISE district mechanism measures","district schooling/mechanism outcomes","preferred Shastry nonzero-mean distance","unadjusted; region FE + main controls; state FE + main controls","standardized_reduced_form","estimate","district_schooling_mechanisms","none",TRUE,"admissible_paper_facing_relevance","implemented",30,30,30,"This is the explicitly predeclared paper-facing three-geography grid from the mechanism rescue plan; the larger IV permutation registry remains diagnostic."
