"harmonized_region_id","component_class","n_source_1991_districts","n_vanneman_panel_units","n_target_2001_districts","harmonized_state_code_2001","vanneman_amalgamation_status","vanneman_amalgamation_eligible","nontrivial_boundary_change","analysis_ready"
"geo_component_0007","many_to_many",2,2,2,"28","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0041","many_to_many",3,3,4,"24","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0043","many_to_many",2,2,3,"24","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0065","many_to_many",3,3,4,"29","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0073","many_to_many",2,2,2,"32","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0077","many_to_many",2,2,2,"23","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0116","many_to_many",2,2,4,"08","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0130","many_to_many",5,5,8,"05","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0139","many_to_many",2,2,3,"09","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0142","many_to_many",2,2,3,"09","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0001","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0002","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0003","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0004","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0005","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0006","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0008","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0010","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0011","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0012","one_to_one",1,1,1,"28","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0019","one_to_one",1,1,1,"18","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0022","one_to_one",1,1,1,"18","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0023","one_to_one",1,1,1,"18","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0027","one_to_one",1,1,1,"18","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0040","one_to_one",1,1,1,"24","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0048","one_to_one",1,1,1,"06","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0050","one_to_one",1,1,1,"02","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0064","one_to_one",1,1,1,"29","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0068","one_to_one",1,1,1,"29","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0070","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0071","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0074","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0082","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0084","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0085","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0086","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0089","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0090","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0092","one_to_one",1,1,1,"27","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0115","one_to_one",1,1,1,"08","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0117","one_to_one",1,1,1,"08","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0118","one_to_one",1,1,1,"08","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0120","one_to_one",1,1,1,"08","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0122","one_to_one",1,1,1,"08","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0123","one_to_one",1,1,1,"33","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0127","one_to_one",1,1,1,"33","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0132","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0134","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0136","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0140","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0143","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0145","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0149","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0151","one_to_one",1,1,1,"09","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0152","one_to_one",1,1,1,"19","deterministic_amalgamation",TRUE,FALSE,FALSE
