"specification_id","n_endogenous","n_excluded_instruments","test","status","statistic","df","p.value","reason","analysis_id"
"unadjusted__nonzero_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean"
"unadjusted__distant_share",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__distant_share"
"unadjusted__top3_legacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__top3_legacy"
"unadjusted__nonzero_mean_hindi_urdu",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean_hindi_urdu"
"unadjusted__nonzero_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean_shastry"
"unadjusted__nonzero_mean_sensitivity_low",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean_sensitivity_low"
"unadjusted__nonzero_mean_sensitivity_high",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean_sensitivity_high"
"unadjusted__nonzero_mean_hindi_urdu_separate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__nonzero_mean_hindi_urdu_separate"
"unadjusted__distance_shares_all",1,5,"sargan","estimated",15.3644899181024,4,0.00400198485180463,NA,"district_iv_diagnostic__unadjusted__distance_shares_all"
"unadjusted__distance_shares_all_unmapped",1,5,"sargan","estimated",19.25453968621,4,0.000700408712143579,NA,"district_iv_diagnostic__unadjusted__distance_shares_all_unmapped"
"unadjusted__distance_shares_mapped",1,5,"sargan","estimated",20.5674612491993,4,0.000385731624327466,NA,"district_iv_diagnostic__unadjusted__distance_shares_mapped"
"unadjusted__glottolog_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__glottolog_mean"
"unadjusted__glottolog_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__glottolog_mean_shastry"
"unadjusted__dyen_noncognate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__dyen_noncognate"
"unadjusted__dyen_noncognate_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__unadjusted__dyen_noncognate_shastry"
"region_main__nonzero_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean"
"region_main__distant_share",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__distant_share"
"region_main__top3_legacy",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__top3_legacy"
"region_main__nonzero_mean_hindi_urdu",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean_hindi_urdu"
"region_main__nonzero_mean_shastry",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean_shastry"
"region_main__nonzero_mean_sensitivity_low",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean_sensitivity_low"
"region_main__nonzero_mean_sensitivity_high",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean_sensitivity_high"
"region_main__nonzero_mean_hindi_urdu_separate",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__nonzero_mean_hindi_urdu_separate"
"region_main__distance_shares_all",1,5,"sargan","estimated",10.7308196907651,4,0.0297617512503793,NA,"district_iv_diagnostic__region_main__distance_shares_all"
"region_main__distance_shares_all_unmapped",1,5,"sargan","estimated",18.2503397522168,4,0.00110253248594318,NA,"district_iv_diagnostic__region_main__distance_shares_all_unmapped"
"region_main__distance_shares_mapped",1,5,"sargan","estimated",10.1573222324841,4,0.0378593744649286,NA,"district_iv_diagnostic__region_main__distance_shares_mapped"
"region_main__glottolog_mean",1,1,"sargan","not_applicable",NA,NA,NA,"Exactly identified.","district_iv_diagnostic__region_main__glottolog_mean"
