url,domain,occurrences,files,locations,labels,contexts,in_bib_guess,topic,proposed_location,recommended_role,recommended_action,metadata_followup_needed
http://lgdirectory.gov.in,lgdirectory.gov.in,2,Pasted markdown (3).md,Pasted markdown (3).md:98 | Pasted markdown (3).md:98,http://lgdirectory.gov.in/,"If so, then these files can be used to go from 2017-18 NSS data to 2024 districts to 2020 geometries. The source of the geometries, found in `data/raw/district_boundaries_2020`, is https://github.com/abhatia08/india_shp_2020, which itself cites https://github.com/justinelliotmeyers/India_Official_Boundaries_2019 as the source of its boundaries. This latter source, though last updated in 2020, says in its README that “Codes will try to align with the 2011 Census and anything updated from [http://lgdirectory.gov.in/](http://lgdirectory.gov.in/).” (It also says “Chennai needs review as its district boundaries should align with the Municipal Corporaation boundaries,” however.) We could thus map from 2017-18 districts to 2024 districts to 2020 boundaries to 2011 boundaries to 2001 boundaries. In fact, https://github.com/justinelliotmeyers/India_Official_Boundaries_2019, which I have saved under `data/raw/district_boundaries_2019`, claims to contain *subdistrict* data. Verify that this true. If so, we could even aggregate 2017-18 households to 2017-18 subdistricts, map these to 2019/2020 subdistrict boundaries, map those to 2011 subdistrict boundaries, and then, in turn, map those to 2001 districts (or even lower; see the subsection “Should districts be the level we’re aggregating at?” below).",False,Data: geography / district lineage,§3 Data; Appendix A Data Construction,appendix/data provenance,"Add only if directly cited for data provenance, variable definitions, or historical source reconstruction; otherwise document in Appendix A/B or DATA_AVAILABILITY.",Usually no; canonical metadata should be recoverable from the linked primary source.
http://udise.in/drc.htm,udise.in,2,Pasted markdown (3).md,Pasted markdown (3).md:1201 | Pasted markdown (3).md:1201,http://udise.in/drc.htm,"Let’s focus on creating alternative measures of our treatment using UDISE/DISE data. The only data I could find online (which did not contain obvious errors) was discovered by going to [https://educationforallinindia.com/udise-publications-2005-06-to-2017-18-niepa-new-delhi/](https://educationforallinindia.com/udise-publications-2005-06-to-2017-18-niepa-new-delhi/), which led me to [https://educationforallinindia.com/wp-content/uploads/2022/08/UDISE\_NIEPA\_Publications.pdf](https://educationforallinindia.com/wp-content/uploads/2022/08/UDISE_NIEPA_Publications.pdf), which then led me to the currently inaccessible [http://udise.in/drc.htm](http://udise.in/drc.htm). [https://web.archive.org/](https://web.archive.org/) allowed me to access [https://web.archive.org/web/20170627210903/http://udise.in/drc.htm](https://web.archive.org/web/20170627210903/http://udise.in/drc.htm), however, whose contents include the following table:",False,Data: schooling / DISE provenance,§3 Data; Appendix A/B,appendix/data provenance,"Add only if directly cited for data provenance, variable definitions, or historical source reconstruction; otherwise document in Appendix A/B or DATA_AVAILABILITY.",Usually no; canonical metadata should be recoverable from the linked primary source.
http://vanneman.umd.edu/districts/codebook/index.html,vanneman.umd.edu,2,Pasted markdown (3).md,Pasted markdown (3).md:1915 | Pasted markdown (3).md:1915,http://vanneman.umd.edu/districts/codebook/index.html,"Regarding the Vanneman provenance, I'm not entirely sure what the exact problem is? The only mention of the word ""version"" I can find in any related documentation is on [http://vanneman.umd.edu/districts/codebook/index.html](http://vanneman.umd.edu/districts/codebook/index.html), where ""Appendix D: district names"" says ""List by version 5 state and district IDs"". This exact same phrasing also exists in [https://web.archive.org/web/20020329222613/http://www.bsos.umd.edu/socy/vanneman/districts/codebook/index.html](https://web.archive.org/web/20020329222613/http://www.bsos.umd.edu/socy/vanneman/districts/codebook/index.html), the oldest archive version of the website I could find. I was, however, able to download the contents of `data/raw/census_1961-91/vanneman_1961-91/sas_commands/` from [https://web.archive.org/web/20130722161319/http://www.vanneman.umd.edu/districts/files/index.html](https://web.archive.org/web/20130722161319/http://www.vanneman.umd.edu/districts/files/index.html). Note that this page says ""Last updated May 15, 2003"" and [https://web.archive.org/web/20130724020840/http://www.vanneman.umd.edu/districts/index.html](https://web.archive.org/web/20130724020840/http://www.vanneman.umd.edu/districts/index.html), the home page archive closest in date, says ""Release 4"", just like the current [http://vanneman.umd.edu/districts/index.html](http://vanneman.umd.edu/districts/index.html).",False,Data: geography / district lineage,§3 Data; Appendix A Data Construction,appendix/data provenance,"Add only if directly cited for data provenance, variable definitions, or historical source reconstruction; otherwise document in Appendix A/B or DATA_AVAILABILITY.",Possibly—prefer canonical author/title/year/DOI or institutional citation before adding to BibTeX.
http://vanneman.umd.edu/districts/files/index.html,vanneman.umd.edu,5,Pasted markdown (2).md | Pasted markdown (3).md,Pasted markdown (2).md:219 | Pasted markdown (2).md:453 | Pasted markdown (2).md:453 | Pasted markdown (3).md:1897 | Pasted markdown (3).md:1897,Vanneman Indian District Database | http://vanneman.umd.edu/districts/files/index.html,"[Vanneman Indian District Database](http://vanneman.umd.edu/districts/files/index.html?utm_source=chatgpt.com) It is presently flaky—the root page returned a server error when I checked—but the files have remained intermittently accessible and papers were downloading them well into the 2020s. A Statalist discussion confirms an important detail of its structure: it is **wide**, with variables such as `POP6`, `POP7`, `POP8`, `POP9` corresponding to 1961, 1971, 1981 and 1991. ([Statalist][24]) || From [http://vanneman.umd.edu/districts/files/index.html](http://vanneman.umd.edu/districts/files/index.html), I downloaded `data/raw/census_1961-91/vanneman_1961-91/`. From [https://ruralindiaonline.org/en/library/resource/language-atlas-of-india-1991/](https://ruralindiaonline.org/en/library/resource/language-atlas-of-india-1991/) I downloaded `data/raw/census_1961-91/Language_Atlas_of_India_1991.pdf`; a district-wise table of languages spoken begins on p. 192 (or p. 205 in the PDF).",False,Data: geography / district lineage,§3 Data; Appendix A Data Construction,appendix/data provenance,"Add only if directly cited for data provenance, variable definitions, or historical source reconstruction; otherwise document in Appendix A/B or DATA_AVAILABILITY.",Possibly—prefer canonical author/title/year/DOI or institutional citation before adding to BibTeX.
http://vanneman.umd.edu/districts/home/combining.html,vanneman.umd.edu,2,Pasted markdown (3).md,Pasted markdown (3).md:1937 | Pasted markdown (3).md:1937,http://vanneman.umd.edu/districts/home/combining.html,"[http://vanneman.umd.edu/districts/home/combining.html](http://vanneman.umd.edu/districts/home/combining.html), saved to `data/raw/census_1961-91/vanneman_1961-91/codebook/Combining divided district to recreate 1961 district boundary.html`, is particularly interesting: it provides the codes for some example districts, which may be very useful for us. If they aren’t useful, try searching more for exactly the resource needed. —",False,Data: geography / district lineage,§3 Data; Appendix A Data Construction,appendix/data provenance,"Add only if directly cited for data provenance, variable definitions, or historical source reconstruction; otherwise document in Appendix A/B or DATA_AVAILABILITY.",Possibly—prefer canonical author/title/year/DOI or institutional citation before adding to BibTeX.
http://vanneman.umd.edu/districts/index.html,vanneman.umd.edu,2,Pasted markdown (3).md,Pasted markdown (3).md:1917 | Pasted markdown (3).md:1917,http://vanneman.umd.edu/districts/index.html,"I was, however, able to download the contents of `data/raw/census_1961-91/vanneman_1961-91/sas_commands/` from [https://web.archive.org/web/20130722161319/http://www.vanneman.umd.edu/districts/files/index.html](https://web.archive.org/web/20130722161319/http://www.vanneman.umd.edu/districts/files/index.html). Note that this page says ""Last updated May 15, 2003"" and [https://web.archive.org/web/20130724020840/http://www.vanneman.umd.edu/districts/index.html](https://web.archive.org/web/20130724020840/http://www.vanneman.umd.edu/districts/index.html), the home page archive closest in date, says ""Release 4"", just like the current [http://vanneman.umd.edu/districts/index.html](http://vanneman.umd.edu/districts/index.html). Even [https://web.archive.org/web/20030507072015/http://bsos.umd.edu/socy/vanneman/districts/](https://web.archive.org/web/20030507072015/http://bsos.umd.edu/socy/vanneman/districts/), however, the oldest snapshot of that website, says ""Release 4.1"", as do all future snapshots of the website which aren't redirects or which can't find the URL.",True,Data: geography / district lineage,§3 Data; Appendix A Data Construction,appendix/data provenance,Already appears represented in references.bib by URL/DOI signature; retain only if the Markdown gives a new use/claim.,Possibly—prefer canonical author/title/year/DOI or institutional citation before adding to BibTeX.
http://www.wordgumbo.com/ie/cmp,www.wordgumbo.com,2,Pasted markdown (3).md,Pasted markdown (3).md:1175 | Pasted markdown (3).md:1175,http://www.wordgumbo.com/ie/cmp,"Regarding lexical data, I think using it to break ties is a good idea. [https://researchers.cdu.edu.au/en/datasets/lexicostatistical-data-raw-and-derived-text-files-on-200-basic-wo/](https://researchers.cdu.edu.au/en/datasets/lexicostatistical-data-raw-and-derived-text-files-on-200-basic-wo/) links to [http://www.wordgumbo.com/ie/cmp](http://www.wordgumbo.com/ie/cmp) which currently redirects to [https://thevore.com/ie/cmp](https://thevore.com/ie/cmp), which contains no file. [https://web.archive.org/web/20030814192224/http://www.wordgumbo.com/ie/cmp/iedata.txt](https://web.archive.org/web/20030814192224/http://www.wordgumbo.com/ie/cmp/iedata.txt), however, is an archived version of the file. It and the Kogan (2017) paper, @koganGenealogicalClassificationNew2017.pdf, (which seems to contain wordlists, though I’m not certain contains all wordlists we need) are found in `data/raw/cognates/`. If you could access ASJP tables online (e.g., via [https://asjp.clld.org/languages](https://asjp.clld.org/languages)) when needed, that would be helpful. [I later downloaded the dataset, @sorenwichmannCLDFDatasetDerived2025, to `cognates/` too.]",False,Language / linguistic distance / language learning,§2 Literature Review; §5 Inherited Linguistic Conditions,narrative-relevant,Candidate bibliography addition if the corresponding claim survives the paper blueprint.,Usually no; canonical metadata should be recoverable from the linked primary source.
https://ageconsearch.umn.edu/record/196675,ageconsearch.umn.edu,2,Pasted markdown (7).md,Pasted markdown (7).md:3479 | Pasted markdown (7).md:3479,https://ageconsearch.umn.edu/record/196675,"[7](https://www.princeton.edu/~mkolesar/papers/invalid_iv.pdf?utm_source=chatgpt.com ""Identification and Inference with Many Invalid Instruments*"") [https://ageconsearch.umn.edu/record/196675](https://ageconsearch.umn.edu/record/196675) [8](https://onlinelibrary.wiley.com/doi/10.3982/ECTA17969?utm_source=chatgpt.com ""Salvaging Falsified Instrumental Variable Models - Masten - 2021 - Econometrica - Wiley Online Library"") [https://www.sciencedirect.com/topics/economics-econometrics-and-finance/instrumental-variables](https://www.sciencedirect.com/topics/economics-econometrics-and-finance/instrumental-variables)",False,Identification / weak-IV methodology,§8 Identification Boundary; Appendix C,methodological/appendix,Potential new methods citation for Appendix C/B; prefer canonical journal/publisher version.,Usually no; canonical metadata should be recoverable from the linked primary source.
https://ageconsearch.umn.edu/record/308092/files/Covid-19_and_Circular_Migration.pdf,ageconsearch.umn.edu,2,Pasted markdown (3).md,Pasted markdown (3).md:1909 | Pasted markdown (3).md:1909,https://ageconsearch.umn.edu/record/308092/files/Covid-19\_and\_Circular\_Migration.pdf,"D-08 and D-09 have still not been published for the 2011 Census, per [https://ageconsearch.umn.edu/record/308092/files/Covid-19\_and\_Circular\_Migration.pdf](https://ageconsearch.umn.edu/record/308092/files/Covid-19_and_Circular_Migration.pdf). In regard to the 2011 analogs of the 2001 H-series data I have (H-05 and H-08 to 13), the 2011 census has HH-08 instead of H-08, FH-09 and HH-09 instead of H-09, HH-10 instead of H-10, HH-11 instead of H-11, H-12 instead of HH-12, and H-13 instead of HH-13.",False,Outcome functional form / measurement methods,§3 Data; Appendix B/C,methodological/appendix,Potential new methods citation for Appendix C/B; prefer canonical journal/publisher version.,Usually no; canonical metadata should be recoverable from the linked primary source.
https://asjp.clld.org/languages,asjp.clld.org,2,Pasted markdown (3).md,Pasted markdown (3).md:1177 | Pasted markdown (3).md:1177,https://asjp.clld.org/languages,"If you could access ASJP tables online (e.g., via [https://asjp.clld.org/languages](https://asjp.clld.org/languages)) when needed, that would be helpful. [I later downloaded the dataset, @sorenwichmannCLDFDatasetDerived2025, to `cognates/` too.] I also saved https://github.com/ddediu/lgfam-newick/blob/master/output/ethnologue/ethnologue-newick-proportional%3D1.00.csv to `data/raw/ethnologue/ethnologue-newick-proportional=1.00.csv`. Note that GitHub says that “We can make this file beautiful and searchable if this error is corrected: It looks like row 2 should actually have 1 column, instead of 376 in line 1.”",True,Language / linguistic distance / language learning,§2 Literature Review; §5 Inherited Linguistic Conditions,narrative-relevant,Already appears represented in references.bib by URL/DOI signature; retain only if the Markdown gives a new use/claim.,Usually no; canonical metadata should be recoverable from the linked primary source.
