"construction_id","construction","excluded_instrument","equivalent_construction_ids","dynamic_fe","label"
"dyen_noncognate","Dyen/Shastry noncognate percentage among non-Hindi/Urdu speakers","ling_distance_dyen_noncognate_pct","dyen_noncognate;dyen_noncognate_shastry","district_year","District FE + academic-year FE"
"glottolog_mean","Glottolog edge-distance mean among non-Hindi/Urdu speakers","ling_distance_glottolog_nonhindi_mean","glottolog_mean;glottolog_mean_shastry","district_year","District FE + academic-year FE"
"nonzero_mean","Mean distance among speakers above zero","ling_distance_nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry","district_year","District FE + academic-year FE"
"nonzero_mean_sensitivity_high","Shastry nonzero mean under joint upper-degree adjudication sensitivity","ling_distance_nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high","district_year","District FE + academic-year FE"
"nonzero_mean_sensitivity_low","Shastry nonzero mean under joint lower-degree adjudication sensitivity","ling_distance_nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low","district_year","District FE + academic-year FE"
"top3_legacy","Legacy top-three weighted mean","ling_distance_top3_legacy","top3_legacy","district_year","District FE + academic-year FE"
"distant_share","Share speaking languages at distance three or higher","ling_share_distance_ge3","distant_share","district_year","District FE + academic-year FE"
"dyen_noncognate","Dyen/Shastry noncognate percentage among non-Hindi/Urdu speakers","ling_distance_dyen_noncognate_pct","dyen_noncognate;dyen_noncognate_shastry","district_state_year","District FE + state-by-academic-year FE"
"glottolog_mean","Glottolog edge-distance mean among non-Hindi/Urdu speakers","ling_distance_glottolog_nonhindi_mean","glottolog_mean;glottolog_mean_shastry","district_state_year","District FE + state-by-academic-year FE"
"nonzero_mean","Mean distance among speakers above zero","ling_distance_nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry","district_state_year","District FE + state-by-academic-year FE"
"nonzero_mean_sensitivity_high","Shastry nonzero mean under joint upper-degree adjudication sensitivity","ling_distance_nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high","district_state_year","District FE + state-by-academic-year FE"
"nonzero_mean_sensitivity_low","Shastry nonzero mean under joint lower-degree adjudication sensitivity","ling_distance_nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low","district_state_year","District FE + state-by-academic-year FE"
"top3_legacy","Legacy top-three weighted mean","ling_distance_top3_legacy","top3_legacy","district_state_year","District FE + state-by-academic-year FE"
"distant_share","Share speaking languages at distance three or higher","ling_share_distance_ge3","distant_share","district_state_year","District FE + state-by-academic-year FE"
