"analysis_id","family","temporal_role","analysis_role","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","n","effective_f","effective_f_critical_value","first_stage_strong","reduced_form_p_value","reduced_form_p_holm","reduced_form_holm_signal","anderson_rubin_p_beta0","anderson_rubin_p_beta0_holm_within_spec","ar_holm_rejects_zero","ar_95_contains_zero","ar_95_bounded","ar_95_n_components","ar_95_disconnected","evidence_status"
"census__migration__interstate_migrant_composition__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.910909878077316,1,FALSE,0.91090987807732,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__interstate_migrant_composition__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.252179072933566,1,FALSE,0.252179072933576,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__interstate_migrant_composition__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.150540848860842,1,FALSE,0.150540848860851,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__interstate_migrant_composition__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.891348381793808,1,FALSE,0.891348381793809,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__interstate_migrant_composition__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.630364798219387,1,FALSE,0.63036479821939,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__interstate_migrant_composition__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.638332296817499,1,FALSE,0.6383322968175,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__work_migration_reason__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.459817584442668,1,FALSE,0.459817584442671,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__work_migration_reason__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.138100402303006,0.966702816121042,FALSE,0.138100402303009,0.966702816121063,FALSE,TRUE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__work_migration_reason__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.1931798143927,1,FALSE,0.193179814392696,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__work_migration_reason__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.22745191936466,1,FALSE,0.227451919364659,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__work_migration_reason__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.512419374442306,1,FALSE,0.512419374442306,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__work_migration_reason__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.521742437173888,1,FALSE,0.521742437173885,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__education_migration_reason__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.956025461841171,1,FALSE,0.95602546184117,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__education_migration_reason__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.0259697841391528,0.207758273113222,FALSE,0.0259697841391508,0.207758273113206,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__education_migration_reason__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.254027342580442,1,FALSE,0.254027342580445,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__education_migration_reason__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.653899464615045,1,FALSE,0.653899464615043,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__education_migration_reason__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.581362353375293,1,FALSE,0.581362353375292,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__education_migration_reason__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","education_migration_reason","education_share_among_migrants","migration_reason","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.866505893181309,1,FALSE,0.866505893181309,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.0177642580481995,0.124349806337397,FALSE,0.0177642580481944,0.124349806337361,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.725208548982051,1,FALSE,0.725208548982062,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.887688855087241,1,FALSE,0.887688855087246,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.0307820566836336,0.215474396785435,FALSE,0.0307820566836324,0.215474396785427,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.233464745799804,1,FALSE,0.233464745799803,1,FALSE,TRUE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__skilled_migrant_composition__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.593009637231466,1,FALSE,0.593009637231465,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.913429454325022,1,FALSE,0.91342945432502,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.140738307664761,0.966702816121042,FALSE,0.140738307664751,0.966702816121063,FALSE,TRUE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.661675213267668,1,FALSE,0.661675213267674,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.224909485235453,1,FALSE,0.224909485235452,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.339286219417335,1,FALSE,0.339286219417333,1,FALSE,TRUE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__technical_migrant_composition__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.291558846874717,1,FALSE,0.291558846874714,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.960365185604526,1,FALSE,0.960365185604526,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.219843222437112,1,FALSE,0.219843222437112,1,FALSE,TRUE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.230270025340893,1,FALSE,0.230270025340902,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.850766795740223,1,FALSE,0.850766795740225,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.0426399894184675,0.34111991534774,FALSE,0.0426399894184678,0.341119915347742,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__outside_state_recent_work_migration__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.910859160049314,1,FALSE,0.910859160049313,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_recent_work_migration__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.0124415498316415,0.099532398653132,FALSE,0.0124415498316448,0.0995323986531584,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
"census__migration__skilled_recent_work_migration__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.691752062215722,1,FALSE,0.691752062215713,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_recent_work_migration__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.515127085564241,1,FALSE,0.515127085564242,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_recent_work_migration__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.00332818402046229,0.0266254721636983,TRUE,0.00332818402046245,0.0266254721636996,TRUE,FALSE,FALSE,2,TRUE,"weak_iv_robust_signal"
"census__migration__skilled_recent_work_migration__state_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state",355,2.82862718517242,23.1085112116065,FALSE,0.530095121752704,1,FALSE,0.530095121752697,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__skilled_recent_work_migration__state_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state",355,0.308794705547958,23.1085112116065,FALSE,0.543056022892441,1,FALSE,0.543056022892446,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_recent_work_migration__region_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region",355,0.170286653144389,23.1085112116065,FALSE,0.996699289854712,1,FALSE,0.99669928985472,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_recent_work_migration__region_main__glottolog_mean","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region",355,2.59171500888566,23.1085112116065,FALSE,0.435207735734213,1,FALSE,0.435207735734197,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_recent_work_migration__region_main__dyen_noncognate","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region",355,0.947774000155956,23.1085112116065,FALSE,0.974299929932764,1,FALSE,0.974299929932769,1,FALSE,TRUE,FALSE,1,FALSE,"weak_iv_underidentified"
"census__migration__technical_recent_work_migration__state_main__nonzero_mean","census_migration","long_run_post","causal_mechanism","technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state",355,1.43060494941775,23.1085112116065,FALSE,0.038250854144004,0.229505124864024,FALSE,0.0382508541440035,0.229505124864021,FALSE,FALSE,FALSE,2,TRUE,"weak_iv_underidentified"
